"Time","ID","Category","Group","Event","Msg. Type","Priority","Ether Type","Src. MAC","Src. Vendor","Src. Int.","Src. Zone","Dst. MAC","Dst. Vendor","Dst. Int.","Dst. Zone","Src. IP","Src. Port","Src. Name","Src.NAT IP","Src.NAT Port","In SPI","Dst. IP","Dst. Port","Dst. Name","Dst.NAT IP","Dst.NAT Port","Out SPI","IP Protocol","ICMP Type","ICMP Code","RX Bytes","TX Bytes","Access Rule","NAT Policy","User Name","Session Time","Session Type","IDP Rule","IDP Priority","HTTP OP","URL","VPN Policy","HTTP Result","Block Cat","Application","FW Action","DPI","Notes","Message","HTTP Referer"
"11/22/2025 23:58:57","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X1","WAN","185.243.5.180","64709","","","","","74.95.21.115","5348","","","","","udp","","","955","","","16","","","","","","","","","","","","NA","","Pkt is dropped. UDP scanned port list, 5352, 5350, 5358, 5356, 5354","Possible port scan detected",""
"11/22/2025 23:58:57","83","Security Services","Attacks","Port Scan Probable","Standard Note String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X1","WAN","185.243.5.180","64710","","","","","74.95.21.115","5357","","","","","udp","","","955","","","16","","","","","","","","","","","","NA","","Pkt is dropped. UDP scanned port list, 5352, 5350, 5358, 5356, 5354, 5348, 5355, 5349, 5347, 5357","Probable port scan detected",""
"11/22/2025 23:59:46","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","00:15:5D:01:5D:01","MICROSOFT CORPORATION","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.127","50531","","0.0.0.0","0","","104.46.162.224","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","10","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.224 Country Name:Australia",""
"11/23/2025 00:04:01","1199","Security Services","Geo-IP Filter","Geo IP Responder Blocked","Standard Message String","Alert","2048","A4:BF:01:58:55:22","INTEL CORPORATE","X0","LAN","2C:B8:ED:D7:21:90","SONICWALL","X1","WAN","172.16.0.131","21497","","0.0.0.0","0","","104.46.162.227","443","","0.0.0.0","0","","tcp","","","48","","Default Access Rule_7","15","","","","","","","","","","","General HTTPS","drop","","","Responder from country blocked: Responder IP:104.46.162.227 Country Name:Australia",""
"11/23/2025 00:26:00","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","31.134.7.168","23655","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","60","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:31.134.7.168 Country Name:Seychelles",""
"11/23/2025 00:27:24","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","185.244.104.2","56757","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","52","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:185.244.104.2 Country Name:Lithuania",""
"11/23/2025 00:30:07","82","Security Services","Attacks","Port Scan Possible","Standard Note String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X1","WAN","185.243.5.190","54752","","","","","74.95.21.115","5051","","","","","udp","","","955","","","16","","","","","","","","","","","","NA","","Pkt is dropped. UDP scanned port list, 5042, 5049, 5046, 5048, 5052","Possible port scan detected",""
"11/23/2025 00:30:07","83","Security Services","Attacks","Port Scan Probable","Standard Note String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X1","WAN","185.243.5.190","54752","","","","","74.95.21.115","5059","","","","","udp","","","955","","","16","","","","","","","","","","","","NA","","Pkt is dropped. UDP scanned port list, 5053, 5041, 5043, 5044, 5050, 5047, 5040, 5054, 5056, 5059","Probable port scan detected",""
"11/23/2025 00:36:55","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","91.209.146.25","443","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","64","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:91.209.146.25 Country Name:Bulgaria",""
"11/23/2025 00:46:43","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","31.134.7.235","58265","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","60","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:31.134.7.235 Country Name:Seychelles",""
"11/23/2025 00:53:08","1198","Security Services","Geo-IP Filter","Geo IP Initiator Blocked","Standard Message String","Alert","2048","3C:9A:77:23:B9:03","VANTIVA USA LLC","X1","WAN","2C:B8:ED:D7:21:91","SONICWALL","X0","LAN","103.203.59.0","60853","","0.0.0.0","0","","172.16.0.127","443","","0.0.0.0","0","","tcp","","","46","","Custom Access Rule_13","11","","","","","","","","","","","General HTTPS","drop","","","Initiator from country blocked: Initiator IP:103.203.59.0 Country Name:China",""
